full_clip_name,excerpt_label_final,genre_code,familiarity_specific_level,song_batch,no_thought_rate,creation_time_accuracy,familiarity_specific_rated
60s_H_01_new-clip_60s_HIGH_Summer_in_the_City_-_Remastered.mp3,60s_H_01,60s,H,1,0.147058824,0.264705882,3.235294118
80s_H_01_new-clip_80s_HIGH_Take_on_Me.mp3,80s_H_01,80s,H,1,0.052631579,0.631578947,4.368421053
Amb_H_01_new-clip_Ambient_HIGH_A_Walk.mp3,Amb_H_01,Amb,H,1,0.125,NA,1.71875
"Cla_H_01_new-clip_Classical_HIGH_Tchaikovsky-_Swan_Lake,_Op._20,_Act_2-_No._10,_Scene._Moderato.mp3",Cla_H_01,Cla,H,1,0.029411765,NA,3.764705882
Ele_H_01_new-clip_Electronic_LOW_Simplicity.mp3,Ele_H_01,Ele,H,1,0.15625,NA,1.71875
Fil_L_01_new-clip_Film_MED_Tinker_Tailor_Soldier_Spy.mp3,Fil_L_01,Fil,L,1,0.1875,NA,1.625
Fun_L_01_new-clip_Funk_LOW_Make_Some_Noise.mp3,Fun_L_01,Fun,L,1,0.15625,NA,1.375
Jaz_L_01_new-clip_Jazz_LOW_London_in_July.mp3,Jaz_L_01,Jaz,L,1,0.193548387,NA,1.387096774
Met_L_01_new-clip_Metal_LOW_Endzeit.mp3,Met_L_01,Met,L,1,0.09375,NA,1.4375
Pop_L_01_new-clip_Pop_MED_Thank_You.mp3,Pop_L_01,Pop,L,1,0.09375,NA,1.4375
"60s_H_02_new-clip_60s_LOW_Walk,_Dont_Run_-_Stereo.mp3",60s_H_02,60s,H,2,0.0625,0.40625,2.8125
80s_H_02_new-clip_80s_HIGH_Maneater.mp3,80s_H_02,80s,H,2,0,0.628571429,3.771428571
Amb_H_02_new-clip_Ambient_LOW_Value_Kit.mp3,Amb_H_02,Amb,H,2,0.15625,NA,1.65625
Cla_H_02_new-clip_Classical_HIGH_Gymnopédie_No._1.mp3,Cla_H_02,Cla,H,2,0.147058824,NA,3.705882353
Ele_H_02_new-clip_Electronic_LOW_Expansion.mp3,Ele_H_02,Ele,H,2,0.131578947,NA,1.605263158
Fil_L_02_new-clip_Film_MED_Bob_Wakes_Up.mp3,Fil_L_02,Fil,L,2,0.03125,NA,1.59375
Fun_L_02_new-clip_Funk_LOW_Shes_Gotta_Be.mp3,Fun_L_02,Fun,L,2,0.125,NA,1.34375
Jaz_L_02_new-clip_Jazz_MED_Turiya_and_Ramakrishna.mp3,Jaz_L_02,Jaz,L,2,0.142857143,NA,1.371428571
Met_L_02_new-clip_Metal_MED_OptiMystic.mp3,Met_L_02,Met,L,2,0.193548387,NA,1.258064516
Pop_L_02_new-clip_Pop_MED_weekends.mp3,Pop_L_02,Pop,L,2,0.125,NA,1.1875
60s_H_03_new-clip_60s_HIGH_Crimson_and_Clover_-Single_Version-.mp3,60s_H_03,60s,H,3,0.088235294,0.323529412,2.411764706
80s_H_03_new-clip_80s_HIGH_Total_Eclipse_of_the_Heart.mp3,80s_H_03,80s,H,3,0.033333333,0.733333333,3.733333333
Amb_H_03_new-clip_Ambient_MED_Study_Music_-Concentrate-.mp3,Amb_H_03,Amb,H,3,0.176470588,NA,1.617647059
"Cla_H_03_new-clip_Classical_HIGH_Cello_Suite_No._1_in_G_Major,_BWV_1007-_I._Prélude.mp3",Cla_H_03,Cla,H,3,0.058823529,NA,3.5
Ele_H_03_new-clip_Electronic_HIGH_One_More_Time.mp3,Ele_H_03,Ele,H,3,0.117647059,NA,3.058823529
Fil_L_03_new-clip_Film_MED_The_world_is_amazed_-_Main_Title_Theme.mp3,Fil_L_03,Fil,L,3,0.0625,NA,1.5625
Fun_L_03_new-clip_Funk_HIGH_Them_Changes.mp3,Fun_L_03,Fun,L,3,0.171428571,NA,1.314285714
Jaz_L_03_new-clip_Jazz_LOW_Ainda_Mais_Amor.mp3,Jaz_L_03,Jaz,L,3,0.171428571,NA,1.342857143
Met_L_03_new-clip_Metal_LOW_Viaje_Por_Existir.mp3,Met_L_03,Met,L,3,0.15625,NA,1.21875
Pop_L_03_new-clip_Pop_MED_You_Belong_to_Me.mp3,Pop_L_03,Pop,L,3,0.0625,NA,1.625
60s_H_04_new-clip_60s_HIGH_Im_A_Man_-_Remastered_2010.mp3,60s_H_04,60s,H,4,0.176470588,0.235294118,1.852941176
80s_H_04_new-clip_80s_HIGH_Sometimes.mp3,80s_H_04,80s,H,4,0.064516129,0.612903226,2.35483871
Amb_H_04_new-clip_Ambient_MED_Holding_On.mp3,Amb_H_04,Amb,H,4,0.088235294,NA,1.529411765
Cla_H_04_new-clip_Classical_HIGH_Spring_-La_Primavera-_Op.8_No.1_E_Major-_Allegro.mp3,Cla_H_04,Cla,H,4,0.058823529,NA,4.470588235
Ele_H_04_new-clip_Electronic_HIGH_Outside_-feat._Ellie_Goulding-.mp3,Ele_H_04,Ele,H,4,0.147058824,NA,2.764705882
Fil_L_04_new-clip_Film_LOW_Where_Is_My_Dad.mp3,Fil_L_04,Fil,L,4,0.085714286,NA,1.485714286
Fun_L_04_new-clip_Funk_MED_Mighty_and_High.mp3,Fun_L_04,Fun,L,4,0.2,NA,1.3
Jaz_L_04_new-clip_Jazz_LOW_Sembellogy.mp3,Jaz_L_04,Jaz,L,4,0.133333333,NA,1.333333333
Met_L_04_new-clip_Metal_MED_Thunderhorse.mp3,Met_L_04,Met,L,4,0.066666667,NA,1.6
Pop_L_04_new-clip_Pop_HIGH_Break_the_Rules.mp3,Pop_L_04,Pop,L,4,0.142857143,NA,1.6
60s_H_05_new-clip_60s_MED_Blue_Eyes_Crying_In_the_Rain.mp3,60s_H_05,60s,H,5,0.064516129,0.35483871,1.741935484
80s_H_05_new-clip_80s_HIGH_Who_Can_It_Be_Now_.mp3,80s_H_05,80s,H,5,0.181818182,0.606060606,2.151515152
Amb_H_05_new-clip_Ambient_HIGH_snowfall.mp3,Amb_H_05,Amb,H,5,0.09375,NA,2.03125
"Cla_H_05_new-clip_Classical_HIGH_Wiegenlied,_Op._49,_No._4_-Arr._for_Cello_and_Piano-_-Brahms_Lullaby-.mp3",Cla_H_05,Cla,H,5,0.114285714,NA,3.8
Ele_H_05_new-clip_Electronic_HIGH_Electric_Feel.mp3,Ele_H_05,Ele,H,5,0.058823529,NA,2.441176471
Fil_L_05_new-clip_Film_LOW_Main_Titles.mp3,Fil_L_05,Fil,L,5,0.176470588,NA,1.411764706
Fun_L_05_new-clip_Funk_LOW_Walking_Trombone.mp3,Fun_L_05,Fun,L,5,0.0625,NA,1.28125
"Jaz_L_05_new-clip_Jazz_LOW_Thinking_of_You,_Mjq.mp3",Jaz_L_05,Jaz,L,5,0.15625,NA,1.5
Met_L_05_new-clip_Metal_LOW_Under_the_Knife.mp3,Met_L_05,Met,L,5,0.09375,NA,1.5625
Pop_L_05_new-clip_Pop_HIGH_The_Edge_Of_Glory.mp3,Pop_L_05,Pop,L,5,0.2,NA,1.466666667
60s_H_06_new-clip_60s_MED_Cinnamon_Girl.mp3,60s_H_06,60s,H,6,0.096774194,0.161290323,1.741935484
80s_H_06_new-clip_80s_HIGH_Sweet_Dreams_-Are_Made_of_This-.mp3,80s_H_06,80s,H,6,0,0.741935484,4.612903226
Amb_H_06_new-clip_Ambient_HIGH_Sweden.mp3,Amb_H_06,Amb,H,6,0.0625,NA,1.9375
"Cla_H_06_new-clip_Classical_HIGH_Nocturne_No._2_in_E-Flat_Major,_Op._9_No._2.mp3",Cla_H_06,Cla,H,6,0.117647059,NA,3.764705882
Ele_H_06_new-clip_Electronic_HIGH_The_Other_Side_Of_Paradise.mp3,Ele_H_06,Ele,H,6,0.147058824,NA,2
Fil_L_06_new-clip_Film_MED_Hoffa_Trailer.mp3,Fil_L_06,Fil,L,6,0.0625,NA,1.34375
Fun_L_06_new-clip_Funk_MED_Charisma.mp3,Fun_L_06,Fun,L,6,0.171428571,NA,1.428571429
Jaz_L_06_new-clip_Jazz_LOW_Tempest.mp3,Jaz_L_06,Jaz,L,6,0.151515152,NA,1.454545455
Met_L_06_new-clip_Metal_MED_Check_My_Brain.mp3,Met_L_06,Met,L,6,0.114285714,NA,1.457142857
Pop_L_06_new-clip_Pop_MED_I_Turn_To_You.mp3,Pop_L_06,Pop,L,6,0.184210526,NA,1.447368421
60s_L_07_new-clip_60s_MED_Im_Waiting_For_The_Man.mp3,60s_L_07,60s,L,7,0.2,0.3,1.733333333
80s_L_07_new-clip_80s_LOW_Breaking_Away.mp3,80s_L_07,80s,L,7,0.176470588,0.352941176,1.558823529
Amb_L_07_new-clip_Ambient_HIGH_Dont_Bother_Theyre_Here.mp3,Amb_L_07,Amb,L,7,0.125,NA,1.25
"Cla_L_07_new-clip_Classical_LOW_Sonata_No._2_for_Violin,_Piano_and_Drums.mp3",Cla_L_07,Cla,L,7,0.125,NA,1.375
Ele_L_07_new-clip_Electronic_LOW_Memoria.mp3,Ele_L_07,Ele,L,7,0.117647059,NA,1.323529412
Fil_H_07_new-clip_Film_HIGH_Star_Wars_-Main_Theme-.mp3,Fil_H_07,Fil,H,7,0,NA,4.774193548
Fun_H_07_new-clip_Funk_HIGH_1999.mp3,Fun_H_07,Fun,H,7,0.088235294,NA,3.352941176
Jaz_H_07_new-clip_Jazz_HIGH_Feeling_Good.mp3,Jaz_H_07,Jaz,H,7,0,NA,3.368421053
Met_H_07_new-clip_Metal_HIGH_What_Ive_Done.mp3,Met_H_07,Met,H,7,0.028571429,NA,2.657142857
Pop_H_07_new-clip_Pop_HIGH_Slow_Dancing.mp3,Pop_H_07,Pop,H,7,0.157894737,NA,1.631578947
60s_L_08_new-clip_60s_LOW_This_Time_the_Dreams_on_Me.mp3,60s_L_08,60s,L,8,0.1875,0.28125,1.6875
80s_L_08_new-clip_80s_LOW_是否.mp3,80s_L_08,80s,L,8,0.057142857,0.142857143,1.542857143
Amb_L_08_new-clip_Ambient_HIGH_Interloper.mp3,Amb_L_08,Amb,L,8,0.1875,NA,1.21875
Cla_L_08_new-clip_Classical_MED_The_Gardens_Light.mp3,Cla_L_08,Cla,L,8,0.166666667,NA,1.333333333
Ele_L_08_new-clip_Electronic_MED_Dumb_Love.mp3,Ele_L_08,Ele,L,8,0.161290323,NA,1.161290323
Fil_H_08_new-clip_Film_HIGH_Theme_From_Jurassic_Park.mp3,Fil_H_08,Fil,H,8,0.03030303,NA,3.787878788
Fun_H_08_new-clip_Funk_HIGH_The_Boss.mp3,Fun_H_08,Fun,H,8,0.176470588,NA,2.088235294
Jaz_H_08_new-clip_Jazz_HIGH_My_Baby_Just_Cares_for_Me_-2013_-_Remaster-.mp3,Jaz_H_08,Jaz,H,8,0.088235294,NA,3.029411765
Met_H_08_new-clip_Metal_HIGH_Can_I_Play_with_Madness_-_2015_Remaster.mp3,Met_H_08,Met,H,8,0.117647059,NA,1.852941176
Pop_H_08_new-clip_Pop_LOW_ghost.mp3,Pop_H_08,Pop,H,8,0.142857143,NA,1.628571429
60s_L_09_new-clip_60s_MED_Amore_sto_dicendo_a_te_-_Toy.mp3,60s_L_09,60s,L,9,0.114285714,0.228571429,1.542857143
80s_L_09_new-clip_80s_LOW_Eve_lève-toi.mp3,80s_L_09,80s,L,9,0.147058824,0.470588235,1.529411765
Amb_L_09_new-clip_Ambient_LOW_Rain_And_Sea.mp3,Amb_L_09,Amb,L,9,0.090909091,NA,1.212121212
"Cla_L_09_new-clip_Classical_LOW_Violin_Sonata_No._5_in_F_Minor,_BWV_1018-_I._Largo.mp3",Cla_L_09,Cla,L,9,0.09375,NA,1.25
Ele_L_09_new-clip_Electronic_LOW_Reckless_Heart.mp3,Ele_L_09,Ele,L,9,0.1875,NA,1.4375
Fil_H_09_new-clip_Film_HIGH_The_Glory_Days.mp3,Fil_H_09,Fil,H,9,0,NA,2.4
Fun_H_09_new-clip_Funk_LOW_Feelin_Good.mp3,Fun_H_09,Fun,H,9,0.026315789,NA,1.763157895
Jaz_H_09_new-clip_Jazz_HIGH_The_Girl_From_Ipanema.mp3,Jaz_H_09,Jaz,H,9,0.03125,NA,2.71875
Met_H_09_new-clip_Metal_LOW_Darkside.mp3,Met_H_09,Met,H,9,0.078947368,NA,1.842105263
Pop_H_09_new-clip_Pop_HIGH_We_Found_Love.mp3,Pop_H_09,Pop,H,9,0.090909091,NA,3.909090909
60s_L_10_new-clip_60s_HIGH_Its_Only_Make_Believe_-_Mono.mp3,60s_L_10,60s,L,10,0.176470588,0.5,1.5
80s_L_10_new-clip_80s_MED_In_Your_Room.mp3,80s_L_10,80s,L,10,0.125,0.59375,1.4375
Amb_L_10_new-clip_Ambient_LOW_Fantasy_and_Reason.mp3,Amb_L_10,Amb,L,10,0.129032258,NA,1.129032258
Cla_L_10_new-clip_Classical_MED_Whitacre-_The_Seal_Lullaby.mp3,Cla_L_10,Cla,L,10,0.0625,NA,1.6875
Ele_L_10_new-clip_Electronic_LOW_Tape.mp3,Ele_L_10,Ele,L,10,0.09375,NA,1.40625
Fil_H_10_new-clip_Film_HIGH_Main_Theme_-From__The_Dark_Knight_Rises_-.mp3,Fil_H_10,Fil,H,10,0,NA,2.064516129
Fun_H_10_new-clip_Funk_MED_Darkest_Light.mp3,Fun_H_10,Fun,H,10,0.096774194,NA,1.677419355
Jaz_H_10_new-clip_Jazz_HIGH_Summertime.mp3,Jaz_H_10,Jaz,H,10,0.125,NA,2.5625
Met_H_10_new-clip_Metal_HIGH_Enter_Sandman.mp3,Met_H_10,Met,H,10,0.176470588,NA,3.794117647
Pop_H_10_new-clip_Pop_HIGH_Love_Again.mp3,Pop_H_10,Pop,H,10,0.129032258,NA,2.806451613
60s_L_11_new-clip_60s_MED_Through_with_You.mp3,60s_L_11,60s,L,11,0.09375,0.15625,1.4375
80s_L_11_new-clip_80s_MED_Your_Love_Drives_Me_Crazy.mp3,80s_L_11,80s,L,11,0.0625,0.40625,1.25
Amb_L_11_new-clip_Ambient_MED_The_Stargazers_Journey.mp3,Amb_L_11,Amb,L,11,0.171428571,NA,1.371428571
Cla_L_11_new-clip_Classical_MED_Elf_kurze_Stücke-_No._4_in_A_Minor.mp3,Cla_L_11,Cla,L,11,0.129032258,NA,1.64516129
Ele_L_11_new-clip_Electronic_LOW_El_Orden_del_Universo.mp3,Ele_L_11,Ele,L,11,0.125,NA,1.375
Fil_H_11_new-clip_Film_HIGH_The_Avengers_-_From__The_Avengers__Score.mp3,Fil_H_11,Fil,H,11,0.026315789,NA,2.052631579
Fun_H_11_new-clip_Funk_HIGH_Smiley_Faces.mp3,Fun_H_11,Fun,H,11,0.147058824,NA,1.529411765
Jaz_H_11_new-clip_Jazz_HIGH_Fly_Me_To_The_Moon_-_2008_Remastered.mp3,Jaz_H_11,Jaz,H,11,0.0625,NA,3.65625
Met_H_11_new-clip_Metal_HIGH_Killing_In_The_Name.mp3,Met_H_11,Met,H,11,0.058823529,NA,3.205882353
Pop_H_11_new-clip_Pop_HIGH_ocean_eyes.mp3,Pop_H_11,Pop,H,11,0.1875,NA,2.40625
60s_L_12_new-clip_60s_LOW_Rumpus.mp3,60s_L_12,60s,L,12,0.09375,0.34375,1.375
80s_L_12_new-clip_80s_MED_Une_autre_histoire.mp3,80s_L_12,80s,L,12,0.15625,0.53125,1.625
Amb_L_12_new-clip_Ambient_LOW_Memories_of_Grass.mp3,Amb_L_12,Amb,L,12,0.131578947,NA,1.342105263
Cla_L_12_new-clip_Classical_LOW_LArbre_des_songes_-_Concerto_for_Violin_and_Orchestra-_1._Librement._II._Vif._III._Lent._IV_Largo_et_animé.mp3,Cla_L_12,Cla,L,12,0.0625,NA,1.375
Ele_L_12_new-clip_Electronic_MED_Looped.mp3,Ele_L_12,Ele,L,12,0.166666667,NA,1.366666667
Fil_H_12_new-clip_Film_LOW_Hammer_of_the_Gods__Opening_Title.mp3,Fil_H_12,Fil,H,12,0.029411765,NA,1.970588235
Fun_H_12_new-clip_Funk_HIGH_September.mp3,Fun_H_12,Fun,H,12,0.088235294,NA,4.294117647
Jaz_H_12_new-clip_Jazz_MED_Take_Five.mp3,Jaz_H_12,Jaz,H,12,0.058823529,NA,3.382352941
Met_H_12_new-clip_Metal_HIGH_Chop_Suey.mp3,Met_H_12,Met,H,12,0.088235294,NA,2.794117647
Pop_H_12_new-clip_Pop_LOW_A_Casa_Sou_Eu_-_Ao_Vivo.mp3,Pop_H_12,Pop,H,12,0.147058824,NA,2.058823529