full_clip_name,excerpt_label_final,genre_code,familiarity_specific_level,song_batch
60s_H_01_new-clip_60s_HIGH_Summer_in_the_City_-_Remastered.mp3,60s_H_01,60s,H,1
80s_L_10_new-clip_80s_MED_In_Your_Room.mp3,80s_L_10,80s,L,10
80s_L_11_new-clip_80s_MED_Your_Love_Drives_Me_Crazy.mp3,80s_L_11,80s,L,11
Amb_L_09_new-clip_Ambient_LOW_Rain_And_Sea.mp3,Amb_L_09,Amb,L,9
"Cla_H_01_new-clip_Classical_HIGH_Tchaikovsky-_Swan_Lake,_Op._20,_Act_2-_No._10,_Scene._Moderato.mp3",Cla_H_01,Cla,H,1
Cla_H_02_new-clip_Classical_HIGH_Gymnopédie_No._1.mp3,Cla_H_02,Cla,H,2
"Cla_H_03_new-clip_Classical_HIGH_Cello_Suite_No._1_in_G_Major,_BWV_1007-_I._Prélude.mp3",Cla_H_03,Cla,H,3
Cla_H_04_new-clip_Classical_HIGH_Spring_-La_Primavera-_Op.8_No.1_E_Major-_Allegro.mp3,Cla_H_04,Cla,H,4
"Cla_H_05_new-clip_Classical_HIGH_Wiegenlied,_Op._49,_No._4_-Arr._for_Cello_and_Piano-_-Brahms_Lullaby-.mp3",Cla_H_05,Cla,H,5
"Cla_H_06_new-clip_Classical_HIGH_Nocturne_No._2_in_E-Flat_Major,_Op._9_No._2.mp3",Cla_H_06,Cla,H,6
"Cla_L_07_new-clip_Classical_LOW_Sonata_No._2_for_Violin,_Piano_and_Drums.mp3",Cla_L_07,Cla,L,7
Cla_L_08_new-clip_Classical_MED_The_Gardens_Light.mp3,Cla_L_08,Cla,L,8
"Cla_L_09_new-clip_Classical_LOW_Violin_Sonata_No._5_in_F_Minor,_BWV_1018-_I._Largo.mp3",Cla_L_09,Cla,L,9
Cla_L_10_new-clip_Classical_MED_Whitacre-_The_Seal_Lullaby.mp3,Cla_L_10,Cla,L,10
Cla_L_11_new-clip_Classical_MED_Elf_kurze_Stücke-_No._4_in_A_Minor.mp3,Cla_L_11,Cla,L,11
Cla_L_12_new-clip_Classical_LOW_LArbre_des_songes_-_Concerto_for_Violin_and_Orchestra-_1._Librement._II._Vif._III._Lent._IV_Largo_et_animé.mp3,Cla_L_12,Cla,L,12
Jaz_H_07_new-clip_Jazz_HIGH_Feeling_Good.mp3,Jaz_H_07,Jaz,H,7
Jaz_H_11_new-clip_Jazz_HIGH_Fly_Me_To_The_Moon_-_2008_Remastered.mp3,Jaz_H_11,Jaz,H,11
Jaz_H_12_new-clip_Jazz_MED_Take_Five.mp3,Jaz_H_12,Jaz,H,12
Jaz_L_02_new-clip_Jazz_MED_Turiya_and_Ramakrishna.mp3,Jaz_L_02,Jaz,L,2
Pop_L_03_new-clip_Pop_MED_You_Belong_to_Me.mp3,Pop_L_03,Pop,L,3